idx,hashtag,emoji_s,count
13231,韩国累计确诊556例新冠肺炎,"(12, 5, 2, 8, 4, 11, 6, 18, 15, 21, 13, 7, 1, 24, 17, 9, 3, 16, 22, 10, 19, 14, 20)","(521, 197, 121, 111, 51, 49, 48, 41, 36, 26, 20, 19, 17, 15, 14, 12, 11, 10, 10, 8, 8, 4, 1)"
13232,韩国累计确诊升至7134例,"(17, 14, 12, 15, 11, 5, 2, 4, 16, 6, 18, 21, 8, 1, 3, 22, 23, 19, 20, 24)","(707, 247, 91, 73, 64, 31, 27, 23, 23, 21, 19, 19, 12, 7, 7, 7, 7, 6, 6, 5)"
13233,韩国累计确诊升至7513例,"(17, 14, 5, 19, 15, 22, 2, 18, 21, 3, 8, 10, 9, 6, 16, 4, 23)","(213, 77, 43, 43, 30, 30, 26, 15, 12, 9, 7, 7, 6, 4, 2, 1, 1)"
13234,韩国累计确诊升至7755例,"(5, 2, 14, 8, 18, 15, 17, 1, 6, 16, 24, 9, 11, 12, 4)","(201, 186, 83, 51, 24, 13, 13, 6, 5, 5, 5, 2, 1, 1, 1)"
13235,韩国累计确诊新冠肺炎2022例,"(17, 11, 5, 14, 12, 19, 21, 2, 4, 16, 8, 15, 18, 24, 6, 22, 9, 13, 3, 7, 20, 10, 1)","(1281, 264, 190, 123, 115, 64, 62, 39, 39, 38, 37, 30, 26, 18, 15, 14, 9, 9, 8, 7, 7, 6, 2)"
13236,韩国累计确诊新冠肺炎3526例,"(5, 12, 14, 17, 18, 15, 8, 4, 9, 6, 19, 1, 16, 23, 2, 21, 7, 10, 11, 20, 24, 22, 13, 3)","(1297, 1034, 250, 137, 136, 108, 69, 62, 43, 39, 37, 35, 27, 27, 26, 22, 18, 18, 18, 16, 16, 14, 7, 3)"
13237,韩国累计确诊新冠肺炎763例,"(5, 18, 2, 4, 8, 14, 15, 12, 17, 21, 16, 19, 24, 3, 23, 6, 9, 13)","(130, 24, 23, 18, 17, 14, 13, 12, 7, 7, 6, 6, 4, 2, 2, 1, 1, 1)"
13238,韩国累计确诊新冠肺炎8413例,"(12, 14, 15, 5, 17, 18, 24, 7, 11, 4, 19, 9, 10, 16, 21, 22, 3, 6, 23)","(142, 64, 46, 30, 22, 20, 8, 6, 5, 3, 3, 2, 2, 2, 2, 2, 1, 1, 1)"
13239,韩国累计确诊新冠肺炎893例,"(11, 17, 5, 15, 6, 2, 8, 21, 9, 12, 4, 1, 7, 13, 18, 22)","(70, 30, 27, 22, 9, 7, 4, 4, 3, 3, 3, 2, 2, 1, 1, 1)"
13240,韩国结婚五年内夫妻四成无子女,"(22, 6, 14, 8, 16, 15, 12, 3, 10, 19, 9, 24, 1, 13, 17, 7, 2, 20, 11, 18, 5, 21, 23, 4)","(335, 137, 112, 84, 83, 44, 31, 23, 22, 18, 16, 16, 15, 15, 14, 13, 12, 12, 10, 10, 9, 9, 8, 5)"
13241,韩国罕见新冠病例,"(18, 5, 17, 12, 16, 2, 8, 9, 21, 14, 6, 19, 1, 7, 13, 22, 3, 10, 11, 4, 20, 15, 24, 23)","(6275, 379, 212, 207, 115, 27, 27, 19, 19, 17, 16, 14, 9, 8, 8, 8, 6, 5, 5, 5, 5, 4, 4, 3)"
13242,韩国血液中心献血送口罩,"(11, 19, 8, 10, 3, 13, 23, 21, 15, 24, 6, 17)","(252, 43, 19, 17, 7, 7, 6, 3, 2, 2, 1, 1)"
13243,韩国议会又打起来了,"(3, 6, 8, 14, 11, 4, 5, 17, 18, 23, 22, 12, 13, 19, 9, 7, 20, 2, 16, 24, 21, 15, 10)","(1130, 412, 279, 136, 34, 22, 18, 16, 13, 10, 9, 8, 8, 8, 7, 6, 6, 5, 5, 5, 4, 2, 1)"
13244,韩国迎3年来最大中国旅行团,"(11, 4, 13, 18, 1, 3, 7, 8, 16, 15, 14, 6, 23, 5, 10, 9, 21)","(696, 298, 46, 31, 18, 16, 15, 14, 14, 9, 8, 8, 6, 3, 3, 1, 1)"
13245,韩国违反隔离规定者将被戴电子手环,"(15, 8, 14, 22, 23, 24, 6, 20, 11, 1, 3, 10, 13, 4)","(507, 22, 13, 8, 8, 8, 6, 5, 3, 1, 1, 1, 1, 1)"
13246,韩国连续两天新增病例低于100例,"(15, 4, 16, 22, 14, 19, 11, 5, 8, 6, 21, 17, 18, 13, 1, 23, 24, 3, 9)","(2968, 113, 105, 79, 65, 43, 32, 27, 21, 20, 16, 12, 12, 11, 9, 6, 5, 1, 1)"
13247,韩国集中力量治疗重症患者,"(15, 14, 4, 9, 16)","(101, 14, 7, 6, 5)"
13248,韩国首位变性士兵被开除,"(11, 4, 8, 15, 14, 6, 9, 16, 12, 2, 19, 10, 21, 3, 20, 24, 5, 7, 17, 23, 1, 13, 18, 22)","(1015, 114, 86, 63, 35, 34, 30, 17, 16, 13, 13, 12, 12, 11, 11, 10, 9, 9, 9, 9, 8, 8, 8, 7)"
13249,韩国首次证实新天地教徒到过武汉,"(11, 4, 1, 12, 14, 21, 8, 9, 18, 15, 16, 13, 17, 10, 2, 20, 19, 3, 5, 7, 6, 24, 23, 22)","(4887, 1319, 173, 143, 109, 72, 53, 52, 50, 41, 37, 30, 28, 24, 19, 15, 13, 12, 11, 10, 8, 8, 7, 6)"
13250,韩国高考泄密,"(14, 13, 17, 8, 22, 9, 10, 21, 1, 24, 12, 23, 11, 4, 15, 16, 18, 19, 20, 7, 2, 6, 5)","(27, 18, 18, 15, 14, 12, 12, 11, 9, 9, 8, 7, 6, 6, 6, 6, 6, 6, 6, 3, 2, 2, 1)"
13251,韩夜店聚集性疫情已致86人确诊,"(8, 4, 11, 18, 19, 14, 1, 5, 24, 6, 9, 13, 2, 16, 17, 21, 10, 12, 15, 20)","(152, 27, 21, 21, 21, 20, 17, 14, 9, 8, 8, 7, 4, 4, 4, 3, 1, 1, 1, 1)"
13252,韩夜店集体感染仍有近2000人失联,"(11, 14, 1, 4, 12, 22, 5, 15, 6, 8, 21, 7, 18, 20, 3, 10, 13, 23)","(135, 30, 27, 27, 18, 15, 11, 10, 9, 8, 8, 4, 3, 3, 1, 1, 1, 1)"
13253,韩天宇夺冠,"(19, 5, 15, 7, 10, 9, 13, 20, 23, 3, 2, 12, 21, 22)","(846, 811, 43, 34, 9, 8, 8, 8, 7, 6, 4, 4, 1, 1)"
13254,韩安冉 小猪先生,"(11, 8, 14, 18, 6, 4, 21, 1, 13, 16, 15, 3, 23, 10, 9, 12, 2, 17, 20, 5, 19, 24, 7, 22)","(6410, 767, 748, 480, 440, 202, 151, 125, 78, 72, 55, 51, 46, 15, 14, 13, 10, 10, 10, 9, 9, 9, 6, 6)"
13255,韩安冉发文,"(11, 14, 4, 1, 18, 3, 13, 6, 9, 15, 16, 19, 21, 20, 10, 8, 2, 5, 12, 22, 24, 7, 17, 23)","(1796, 654, 173, 125, 98, 77, 76, 70, 51, 46, 42, 42, 39, 36, 34, 33, 29, 29, 29, 25, 20, 17, 17, 14)"
13256,韩安冉离婚,"(14, 11, 6, 16, 8, 4, 18, 7, 12, 21, 19, 22, 2, 10, 23, 20, 1, 3, 13, 24, 5, 9, 17, 15)","(3239, 2241, 733, 282, 170, 110, 73, 52, 49, 46, 44, 42, 41, 41, 41, 40, 34, 31, 29, 29, 28, 28, 28, 27)"
13257,韩官员建议给每人发100万韩币,"(11, 7, 24, 14, 6, 8, 15, 3, 23, 12, 22, 2, 9, 16, 13, 17, 21)","(496, 114, 74, 45, 38, 28, 11, 9, 6, 5, 3, 2, 2, 2, 1, 1, 1)"
13258,韩寒18分钟跑5公里,"(15, 6, 11, 8, 21, 24, 12, 3, 16, 22, 19, 2, 10, 7, 18, 1, 5, 4, 23, 13, 14, 17, 20)","(1145, 188, 141, 86, 49, 38, 34, 23, 22, 21, 20, 13, 10, 9, 8, 6, 6, 6, 6, 5, 4, 3, 3)"
13259,韩小学生实施心肺复苏救活父亲,"(15, 22, 20, 16, 23, 9, 5, 4, 19, 17, 21)","(520, 25, 14, 10, 8, 5, 3, 2, 2, 1, 1)"
13260,韩庚卢靖姗婚后首封,"(16, 8, 13, 6, 11, 7, 4, 14, 22, 23, 3, 19, 2, 12, 15, 20, 1, 17, 18, 9, 10, 21, 24)","(1656, 110, 48, 47, 40, 24, 24, 12, 12, 12, 10, 9, 8, 8, 8, 8, 7, 7, 7, 6, 6, 6, 5)"
13261,韩庚卢靖姗婚礼欢迎晚宴,"(16, 23, 2, 5, 7, 17, 1, 14, 18, 24, 10, 15, 4, 3, 8, 20, 19, 9, 13, 22, 6, 11, 21, 12)","(4725, 141, 92, 73, 51, 51, 48, 34, 29, 26, 23, 22, 17, 16, 16, 16, 15, 14, 14, 12, 10, 9, 9, 7)"
13262,韩庚卢靖姗官宣结婚,"(16, 23, 7, 5, 14, 4, 22, 19, 9, 24, 3, 21, 17, 18, 13, 2, 6, 11, 12, 15, 10, 20, 8, 1)","(6152, 150, 101, 67, 38, 32, 31, 21, 18, 17, 13, 12, 11, 10, 9, 8, 8, 8, 8, 7, 6, 6, 5, 4)"
13263,韩庚卢靖姗结婚,"(16, 5, 23, 15, 8, 6, 18, 19, 11, 3, 14, 4, 2, 10, 22, 20, 24, 12, 13, 7, 21, 1, 9, 17)","(7988, 506, 184, 79, 63, 37, 34, 31, 30, 24, 23, 21, 20, 19, 18, 17, 17, 16, 16, 15, 15, 14, 14, 14)"
13264,韩庚金希澈拥抱,"(5, 16, 3, 15, 17, 13, 4, 19, 8, 14, 7, 12, 23, 24, 18, 20, 6, 11, 21, 22)","(381, 94, 16, 15, 15, 14, 14, 12, 11, 9, 9, 8, 8, 6, 5, 5, 4, 4, 1, 1)"
13265,韩德君受伤,"(5, 16, 18, 4, 8, 1, 6, 12, 11, 17, 21)","(82, 21, 14, 6, 4, 2, 2, 2, 1, 1, 1)"
13266,韩总统府十几名内部警卫被隔离,"(9, 12, 6, 8, 3, 5, 11, 4, 13, 18, 20, 14, 23, 24, 21, 1, 15, 16, 22)","(160, 71, 70, 46, 17, 16, 9, 9, 6, 6, 6, 5, 5, 3, 2, 1, 1, 1, 1)"
13267,韩教师去夜店致6名学生感染,"(11, 4, 8, 14, 19, 12, 6, 2, 15, 5, 18, 1, 9, 3, 17, 16, 21, 13, 20, 10, 23, 7, 24, 22)","(1687, 729, 188, 133, 59, 48, 41, 37, 25, 23, 23, 22, 18, 16, 16, 13, 12, 11, 11, 8, 7, 6, 6, 5)"
13268,韩新天地教会会长被诉过失杀人,"(4, 15, 11, 2, 8, 18, 13, 19, 3, 1, 14, 12, 5, 7, 23, 10, 16, 24, 22, 9, 6, 21, 17)","(1351, 186, 103, 29, 22, 18, 17, 15, 14, 12, 11, 10, 9, 8, 8, 7, 7, 7, 6, 5, 4, 3, 1)"
13269,韩日抗击疫情中国不会缺席,"(15, 4, 23, 16, 19, 22, 5, 8, 11, 6, 1, 9, 21, 14, 17, 12, 10, 13, 7, 20, 24, 18, 2)","(2462, 125, 114, 80, 43, 39, 23, 19, 19, 16, 15, 14, 14, 12, 11, 10, 8, 8, 6, 6, 5, 2, 1)"
13270,韩旭表白肖战,"(16, 15, 3, 11, 6, 24, 8, 7, 4, 18, 2, 19, 14, 5, 23, 22, 17, 21, 1, 9, 12, 13, 20, 10)","(16724, 550, 524, 518, 290, 142, 118, 65, 59, 49, 42, 20, 16, 12, 9, 7, 5, 4, 3, 3, 3, 3, 3, 2)"
13271,韩某为此轮哈尔滨疫情传播源,"(4, 17, 6, 9, 18, 10, 5, 21, 1, 16, 15, 11, 19, 2, 8, 7, 13, 22, 3, 12, 20, 14, 24, 23)","(1901, 191, 135, 85, 66, 61, 46, 43, 33, 33, 26, 22, 21, 12, 9, 8, 8, 8, 7, 7, 6, 5, 5, 2)"
13272,韩涵,"(14, 4, 11, 18, 19, 15, 1, 8, 16, 6, 2, 13, 22, 10, 20, 21, 9, 23, 5, 7, 12, 17, 3, 24)","(2539, 938, 124, 116, 77, 60, 57, 55, 42, 40, 32, 30, 26, 22, 21, 19, 18, 18, 17, 14, 12, 11, 9, 8)"
13273,韩琦充军,"(6, 5, 11, 8, 3, 21)","(73, 27, 8, 7, 6, 2)"
13274,韩百余市民排队抢购奢侈品,"(14, 11, 21, 8, 6, 4, 20, 9, 3, 16, 22, 18, 1, 23)","(82, 37, 22, 20, 9, 7, 7, 6, 3, 3, 3, 2, 1, 1)"
13275,韩真真发文力挺尚雯婕,"(15, 14, 11, 4, 8, 6, 16, 13, 18, 9, 1, 3, 23, 20, 21, 10, 24, 19, 17, 12, 7, 2, 5, 22)","(4123, 886, 652, 137, 131, 95, 76, 30, 21, 20, 18, 17, 15, 11, 10, 9, 8, 7, 6, 5, 4, 3, 3, 2)"
13276,韩研发两小时检测病毒试剂盒,"(19, 11, 15, 8, 6, 9, 10, 13, 3, 23, 17, 1, 18, 7, 24, 14, 12, 4, 16, 22)","(354, 274, 54, 40, 21, 18, 17, 17, 9, 9, 8, 6, 4, 3, 3, 1, 1, 1, 1, 1)"
13277,韩确诊男子6天内走遍首尔京畿地区,"(6, 8, 4, 11, 3, 15, 14, 1, 12, 13, 21, 22, 23, 5, 9, 2, 7, 24, 16, 18, 17, 19, 20, 10)","(2230, 501, 311, 223, 146, 103, 72, 36, 34, 33, 33, 33, 27, 22, 21, 18, 16, 16, 15, 15, 12, 11, 11, 7)"
13278,韩红,"(16, 4, 15, 5, 22, 1, 19, 11, 23, 14, 18, 10, 6, 8, 3, 17, 24, 9, 12, 13, 20, 21, 7, 2)","(14323, 10510, 6961, 1460, 499, 385, 200, 87, 75, 52, 37, 36, 33, 32, 31, 31, 26, 24, 23, 23, 23, 23, 20, 17)"
13279,韩红感谢信,"(15, 16, 5, 11, 18, 23, 22, 20, 19, 1, 9, 13, 4, 6, 7, 24, 3, 14, 8, 10, 12, 17, 21)","(6394, 1211, 621, 70, 35, 22, 13, 7, 6, 4, 4, 4, 4, 3, 3, 3, 2, 2, 2, 2, 2, 2, 2)"
13280,韩红更新捐款名单,"(15, 11, 16, 4, 19, 22, 1, 5, 10, 8, 14, 23, 20, 17, 2, 6, 24, 12, 9, 7, 18, 21, 3, 13)","(3155, 302, 267, 108, 77, 64, 45, 39, 35, 34, 33, 30, 28, 27, 24, 24, 23, 20, 18, 17, 17, 17, 15, 15)"
13281,韩红谈慈善,"(22, 15, 16, 19, 4, 23, 12, 17, 20, 1, 5, 2, 7, 8, 9, 21, 3, 10, 11, 18, 24, 6, 13)","(5914, 323, 106, 47, 24, 19, 8, 8, 8, 7, 6, 5, 5, 3, 3, 3, 2, 2, 2, 2, 2, 1, 1)"
13282,韩美娟曝被威胁,"(11, 4, 14, 12, 5, 6, 10, 15, 19, 1, 7, 3, 2, 8, 13, 23, 18, 21, 9, 16, 17, 20, 24, 22)","(3299, 1082, 242, 117, 101, 72, 65, 34, 29, 28, 27, 26, 23, 23, 22, 21, 20, 20, 19, 19, 14, 12, 10, 9)"
13283,韩赴以色列朝拜圣地团28人确诊新冠肺炎,"(4, 3, 12, 15, 19, 24, 17, 20, 6, 10, 11, 23)","(66, 12, 11, 10, 6, 6, 4, 3, 2, 2, 2, 2)"
13284,韫色过浓,"(7, 5, 10, 11, 6, 8, 16, 3, 21, 24, 4, 1, 15, 14, 2, 13, 23, 19, 12, 22, 17, 20, 18, 9)","(6150, 3263, 2399, 2324, 913, 497, 447, 117, 105, 76, 74, 39, 37, 36, 34, 31, 26, 23, 15, 15, 12, 11, 9, 8)"
13285,音乐盛典咪咕汇,"(16, 5, 7, 15, 21, 11, 22, 23, 8, 6, 2, 9, 24, 4, 1, 20, 19, 14, 3)","(1243, 457, 183, 104, 59, 24, 16, 14, 11, 10, 8, 8, 8, 7, 6, 6, 5, 3, 1)"
13286,音味热爱,"(14, 11, 15, 2, 1, 3, 16, 18, 4)","(59, 12, 12, 8, 6, 3, 3, 3, 2)"
13287,韵达开除登门打人快递员,"(4, 8, 1, 15, 5, 6, 23, 24, 3, 22, 2, 9, 11, 20, 21)","(87, 20, 13, 9, 4, 4, 4, 4, 3, 3, 2, 2, 2, 2, 2)"
13288,顺丰,"(4, 1, 11, 18, 13, 22, 17, 12, 14, 6, 8, 21, 15, 16, 3, 19, 5, 23, 24, 9, 10, 20, 2, 7)","(9160, 586, 480, 78, 32, 29, 25, 24, 21, 16, 16, 14, 12, 12, 10, 10, 9, 9, 9, 8, 8, 8, 5, 4)"
13289,顺丰回应快递员拦截包裹卖口罩,"(4, 11, 15, 10, 14, 17, 12, 1, 3, 6, 2, 13, 23, 5, 18, 24, 16, 22, 8, 21, 7, 19, 9, 20)","(3902, 268, 208, 98, 71, 45, 34, 31, 31, 26, 25, 25, 23, 22, 22, 22, 19, 17, 16, 16, 15, 15, 12, 10)"
13290,顺丰回应送外卖,"(15, 8, 6, 3, 9, 11, 4, 16, 14, 18, 23, 17, 12, 2, 13, 1, 10, 21, 22, 24, 19, 7, 20, 5)","(2291, 707, 173, 55, 47, 41, 39, 34, 30, 29, 23, 21, 19, 18, 17, 16, 16, 15, 15, 14, 12, 10, 10, 9)"
13291,顾全违体犯规,"(4, 15, 14, 21, 6, 2, 20, 24, 22)","(59, 23, 9, 6, 4, 2, 2, 2, 1)"
13292,颐和园桃花,"(16, 7, 11, 15, 14, 19, 20, 2, 6, 8, 9, 13, 21)","(350, 47, 10, 9, 4, 4, 2, 1, 1, 1, 1, 1, 1)"
13293,颐和园雪景,"(7, 5, 16, 12, 21, 23, 3, 8, 10, 9, 17, 2, 6, 13, 15, 24)","(135, 20, 19, 9, 8, 7, 6, 6, 6, 3, 3, 2, 2, 1, 1, 1)"
13294,频繁聊天会产生恋爱错觉吗,"(8, 6, 14, 1, 17, 11, 24, 13, 3, 10, 20, 21, 5, 9, 15, 16, 18, 4, 2, 7, 23, 22, 12, 19)","(1610, 178, 176, 102, 89, 44, 42, 32, 31, 31, 31, 31, 30, 30, 27, 26, 25, 20, 19, 19, 13, 12, 9, 7)"
13295,颜值高但从未谈过恋爱,"(6, 8, 16, 1, 3, 13, 14, 10, 15, 9, 12, 11, 22, 24, 5, 19)","(79, 56, 17, 15, 15, 9, 8, 7, 7, 4, 4, 3, 3, 3, 2, 1)"
13296,颜如晶落泪,"(5, 11, 16, 14, 1, 3, 17, 19, 21, 8, 13, 22, 12, 4, 2, 10, 20, 6, 9, 15)","(226, 74, 56, 24, 16, 9, 9, 9, 9, 8, 8, 8, 7, 7, 5, 4, 3, 2, 2, 1)"
13297,额头露出来有多美,"(7, 16, 8, 6, 3, 5, 21, 10, 17, 11, 24, 23, 1, 14, 4, 15, 22, 9, 13)","(91, 50, 47, 27, 18, 17, 12, 11, 11, 10, 10, 9, 8, 8, 4, 4, 4, 2, 2)"
13298,风味人间文案,"(16, 11, 4, 6, 22, 15, 8, 18, 7, 3, 21, 5, 9, 12)","(281, 61, 27, 23, 19, 16, 15, 9, 8, 5, 4, 2, 2, 1)"
13299,风味人间螃蟹,"(7, 6, 14, 5, 24, 8, 18, 20, 21, 10, 3, 4, 22, 17, 16, 19, 15, 2, 11, 9, 13, 23)","(256, 72, 44, 41, 29, 28, 24, 15, 14, 11, 10, 10, 10, 9, 8, 8, 7, 6, 6, 4, 1, 1)"
13300,飞牛哭了,"(5, 16, 15, 3, 23, 7)","(243, 17, 11, 4, 3, 2)"
13301,飞行员因疫情改送外卖,"(3, 8, 6, 5, 16, 21, 11, 10, 1, 13, 24, 2, 15, 17, 19, 23, 4, 22, 7, 9)","(368, 110, 100, 57, 20, 19, 18, 13, 12, 12, 12, 8, 7, 7, 7, 7, 6, 5, 3, 1)"
13302,飞轮海,"(1, 11, 16, 6, 14, 8, 3, 4, 13, 18, 5, 17, 19, 21, 2, 10, 15, 7, 20, 24, 12, 22, 9, 23)","(2655, 1087, 477, 428, 229, 114, 106, 90, 70, 47, 21, 16, 16, 12, 11, 11, 10, 8, 8, 8, 4, 3, 2, 1)"
13303,飞轮海成员祝福辰亦儒曾之乔,"(23, 16, 11, 5, 4, 20, 3, 10, 15, 12, 24, 7, 1, 17, 21, 2, 6, 14, 19, 13, 8, 18, 22)","(511, 137, 107, 26, 24, 23, 20, 17, 15, 13, 13, 10, 9, 9, 9, 8, 8, 7, 7, 3, 2, 2, 1)"
13304,食品厂硬核防疫复工,"(3, 14, 15, 9, 8, 4, 21, 11, 24, 16, 6, 13, 18, 19, 22)","(118, 107, 45, 14, 11, 8, 8, 7, 5, 4, 3, 3, 2, 1, 1)"
13305,餐厅老板设计拉链口罩方便吃饭,"(11, 6, 3, 8, 1, 18, 15, 13, 24, 5, 7, 21, 14, 12, 22, 4, 17, 23)","(382, 60, 49, 44, 14, 12, 9, 8, 8, 6, 6, 6, 4, 3, 3, 2, 1, 1)"
13306,饭圈才能get到的梗,"(8, 6, 3, 15, 1, 19, 11, 9, 4, 2, 12, 10, 7, 13, 20, 24)","(145, 58, 57, 15, 9, 8, 7, 6, 5, 4, 4, 2, 1, 1, 1, 1)"
13307,饭圈文化该不该出现在校园,"(10, 9, 4, 11, 15, 14, 6, 8, 1, 16, 22, 23, 13, 3, 12, 17, 18, 5, 21, 2, 7, 24, 19, 20)","(7643, 3273, 1705, 1434, 830, 512, 348, 179, 137, 68, 67, 64, 61, 38, 25, 20, 18, 9, 9, 6, 6, 6, 5, 4)"
13308,饭圈职业黑粉产业,"(4, 1, 22, 14, 13, 15, 18, 11, 5, 2, 7, 19, 21, 17, 20, 8, 16, 3, 9)","(4643, 145, 131, 67, 40, 38, 34, 33, 14, 10, 9, 8, 8, 6, 6, 5, 4, 3, 1)"
13309,饭心直达,"(11, 16)","(173, 16)"
13310,饺子 李现实在太帅了,"(7, 6, 3, 11, 16, 8, 23, 15, 2, 4, 18, 19, 22, 13, 21, 24, 5, 1, 14, 9, 17, 10, 12, 20)","(9996, 582, 427, 337, 287, 209, 94, 91, 56, 31, 21, 14, 14, 13, 13, 10, 9, 7, 7, 4, 4, 3, 1, 1)"
13311,馋久了什么都想吃,"(8, 11, 22, 6, 4, 1, 16, 14, 5, 24, 18)","(158, 28, 17, 16, 13, 12, 5, 4, 4, 4, 1)"
13312,馒头披萨,"(2, 16, 8, 6, 11, 15, 14, 3, 7, 5, 24, 13, 4, 22, 23, 20, 19, 10, 12, 18, 21, 17)","(396, 343, 308, 209, 81, 54, 35, 34, 34, 26, 18, 13, 12, 11, 11, 9, 8, 6, 6, 6, 6, 5)"
13313,首个可能宜居的地球大小行星被发现,"(8, 7, 6, 11, 16, 9, 12, 23, 19, 3, 10, 18, 22, 1, 4, 5, 2, 15, 14, 13)","(351, 134, 57, 36, 30, 27, 20, 17, 13, 11, 9, 9, 9, 8, 8, 4, 2, 2, 1, 1)"
13314,首个新冠疫苗动物实验数据出炉,"(15, 16, 19, 22, 9, 12, 20, 2, 18, 21, 11, 24, 5, 6, 7, 1, 14, 10)","(817, 51, 27, 11, 9, 9, 9, 8, 8, 7, 6, 5, 3, 3, 2, 1, 1, 1)"
13315,首个新冠疫苗动物实验研究结果,"(19, 15, 16, 13, 6, 14, 5, 7, 21, 8, 2, 11, 17, 22, 3, 12, 23, 20, 18, 10, 24)","(845, 87, 21, 16, 14, 13, 9, 9, 9, 8, 7, 7, 6, 6, 4, 4, 4, 3, 2, 1, 1)"
13316,首个新冠病毒原子图,"(15, 14, 11, 16, 24, 19, 3, 6, 23, 8, 10, 17, 12, 21, 13, 1, 9, 22, 7, 20, 2, 5, 4, 18)","(510, 103, 38, 31, 22, 18, 17, 16, 14, 13, 12, 12, 11, 11, 10, 8, 8, 8, 7, 7, 6, 4, 4, 4)"
13317,首个新冠病毒检测试剂盒通过检验,"(15, 19, 5, 16, 22, 11, 17, 4, 21, 23, 18, 3, 1, 13, 20, 6, 12, 2, 14, 7, 8, 9, 10, 24)","(4320, 543, 272, 225, 71, 36, 34, 33, 28, 28, 27, 25, 23, 23, 23, 22, 22, 21, 21, 21, 21, 21, 21, 15)"
13318,首个潜在治疗新冠肺炎药物获批上市,"(7, 15, 19, 5, 16, 17, 18, 4, 22, 11, 10, 23, 8, 12, 20, 14, 2, 9, 24)","(630, 250, 72, 31, 30, 17, 15, 13, 12, 11, 8, 5, 4, 3, 3, 2, 1, 1, 1)"
13319,首列wifi全覆盖和谐号动车组上线运营,"(7, 14, 9, 5, 15, 18, 23)","(99, 18, 9, 4, 3, 2, 2)"
13320,首尔八成补习班还在营业,"(11, 15, 14, 12, 3, 4, 10, 16, 5, 19, 6, 7, 9, 20, 1, 18, 8, 24, 13)","(276, 46, 23, 16, 15, 15, 10, 9, 8, 6, 4, 4, 4, 4, 3, 3, 2, 2, 1)"
13321,首尔市市长说现在该是报恩的时候了,"(16, 15, 8, 11, 5, 22, 19, 3, 6, 20, 13, 4, 23, 17, 9, 21, 24, 2, 12, 7, 1, 14, 10, 18)","(6308, 524, 64, 64, 58, 51, 36, 32, 22, 22, 17, 15, 12, 11, 10, 10, 10, 8, 7, 6, 5, 5, 4, 2)"
13322,首尔市长劝市民解散遭围攻,"(11, 4, 6, 1, 18, 8, 21, 14, 5, 12, 15, 19, 17, 3, 2, 9, 13, 20, 24, 16, 10, 7, 23, 22)","(4616, 359, 176, 175, 143, 136, 114, 90, 61, 48, 38, 38, 30, 28, 25, 21, 16, 16, 15, 14, 12, 11, 11, 7)"
13323,首尔禁止大规模集会,"(11, 15, 6, 1, 4, 8, 23, 5, 19, 2, 3)","(160, 92, 33, 17, 17, 15, 7, 6, 4, 3, 1)"
13324,首尔飞南京航班发现3名发热乘客,"(4, 1, 5, 11, 21, 16, 6, 12, 19, 13, 8, 18, 7, 17, 22, 15, 2, 14, 9, 3, 23, 10, 24, 20)","(5422, 398, 128, 107, 93, 39, 33, 33, 25, 22, 16, 16, 15, 15, 13, 12, 11, 11, 9, 7, 7, 6, 6, 3)"
13325,首座假期延长城市,"(15, 19, 6, 8, 5, 24, 22, 11, 21, 14, 16, 1, 4, 3, 10, 9, 18, 7, 13, 23, 20, 12, 17, 2)","(3858, 567, 141, 113, 95, 88, 48, 28, 22, 21, 21, 20, 20, 17, 15, 14, 14, 13, 13, 13, 11, 10, 10, 3)"
13326,首批6000份面部防护贴送往火神山医院,"(15, 16, 22, 23, 5, 1, 10, 21, 19, 3, 14, 7, 24)","(386, 36, 19, 11, 6, 5, 5, 3, 2, 1, 1, 1, 1)"
13327,首批中国援助物资运抵塞尔维亚,"(16, 22, 15, 5, 19, 23, 4, 7, 18, 20, 14, 24, 6, 21, 10, 11, 17, 3, 8, 1, 9)","(6941, 329, 244, 59, 49, 36, 16, 9, 9, 9, 7, 7, 5, 5, 4, 3, 3, 2, 2, 1, 1)"
13328,首批九零后30了,"(6, 8, 5, 13, 17, 3, 21, 1, 16, 2, 10, 18, 7, 15, 4, 19, 23, 22, 24)","(551, 279, 95, 76, 27, 23, 13, 10, 10, 9, 9, 9, 8, 8, 7, 7, 4, 1, 1)"
13329,首批包机返日人员查出3例确诊病例,"(5, 12, 23, 9, 6, 17, 24, 18, 3, 7, 22, 10, 15, 16, 19, 14, 8, 20, 21, 11, 13, 1, 4)","(451, 42, 37, 29, 18, 18, 15, 11, 9, 9, 9, 8, 8, 8, 8, 7, 7, 7, 7, 6, 6, 3, 2)"
13330,首批四川援鄂医疗队员解除隔离,"(15, 16, 23, 13, 18, 5, 4, 22, 24, 3, 7, 8, 20)","(196, 66, 10, 8, 7, 6, 4, 4, 2, 1, 1, 1, 1)"
13331,首批赴黎维和女扫雷手,"(15, 16, 22, 4, 20, 5, 19, 24, 12, 18, 23, 7, 9, 10, 14, 8, 21)","(183, 56, 29, 12, 9, 7, 7, 6, 5, 5, 3, 2, 2, 2, 1, 1, 1)"
